tensor(0.9630, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9703, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9729, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9669, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9489, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9734, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8869, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8971, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9164, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8689, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9101, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8990, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8638, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9734, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9403, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9703, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8997, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9339, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8754, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9628, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9158, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7571, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8411, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8743, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8077, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8636, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8715, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8923, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8791, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9741, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9591, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9565, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9150, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9238, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8072, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8692, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8023, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9415, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9271, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8389, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8227, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8925, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8564, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9037, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8797, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8672, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8833, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7850, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9322, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9811, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9656, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9173, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9021, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9367, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8996, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8031, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9025, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8386, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7706, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8749, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8057, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7711, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8909, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7829, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8031, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9053, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8765, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7699, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9122, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7678, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9452, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9578, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9140, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8474, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6941, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9513, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9427, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8420, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8997, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6939, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8665, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7695, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7872, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8867, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8661, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6931, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9031, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7923, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8411, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9194, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8777, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8280, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7978, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9638, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8097, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9313, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8532, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.5803, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7668, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8467, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8860, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8892, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6660, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9349, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8744, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7413, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9770, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8766, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7258, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8093, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7817, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9330, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9503, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7808, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8103, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9773, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8836, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8250, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7975, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8956, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9699, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8905, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9595, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8876, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7365, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9279, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7747, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9530, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9813, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8187, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9242, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9612, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8433, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7313, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8740, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9287, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9557, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9297, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8084, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8522, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6630, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8385, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7711, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9484, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8361, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7252, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7265, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8753, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7288, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8524, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7020, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7317, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8294, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9497, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6702, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7565, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.7948, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.6960, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.8868, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9226, device='cuda:0', grad_fn=<RsubBackward1>)
tensor(0.9580, device='cuda:0', grad_fn=<RsubBackward1>)
