tensor(1.1489, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9021, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5413, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4631, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2443, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2660, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1994, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1677, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1494, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1243, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1897, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1885, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9021, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1447, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1944, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1125, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2415, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0022, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3204, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1262, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0553, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0691, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0924, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3012, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1609, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1156, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1249, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1557, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0573, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1356, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3823, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1144, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0648, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4853, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3195, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3209, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3428, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2060, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4527, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1354, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1143, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1480, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2961, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0711, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1249, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8638, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0843, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1020, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3394, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0886, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1400, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2233, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0788, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1116, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0980, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0809, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0836, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1875, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3389, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0614, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3595, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1521, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0615, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0919, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0803, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0842, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6143, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0404, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0451, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0993, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0819, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1326, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0985, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1540, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0730, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0716, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0640, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0468, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0578, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0938, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1775, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1094, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0658, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0701, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0340, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0612, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1400, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1003, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2219, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0815, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0464, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0791, device='cuda:0', grad_fn=<AddBackward0>)
